                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.79743,                 3.9627,                 1.0746,                0.02403,                0.52935,                0.07862,                 0.0691,                0.57148,                  3.877,                0.88551,                      0,                      0,                      0
                      2,                0.70607,                 3.9275,                 1.0034,                0.02474,                0.53634,                0.08652,                0.07589,                0.56973,                 3.8735,                0.88442,             6.4499e-06,             6.4499e-06,             6.4499e-06
                      3,                0.62448,                 3.7894,                0.96452,                0.02511,                0.53634,                0.08971,                0.07899,                0.56593,                 3.8665,                0.88166,              1.246e-05,              1.246e-05,              1.246e-05
                      4,                 0.6851,                 4.0464,                0.98501,                0.02591,                0.55032,                0.09226,                0.08187,                0.56179,                 3.8537,                0.87942,             1.8029e-05,             1.8029e-05,             1.8029e-05
                      5,                0.71018,                 3.8784,                0.99575,                0.02629,                 0.5625,                0.10802,                0.09396,                 0.5551,                 3.8393,                0.87528,             2.3158e-05,             2.3158e-05,             2.3158e-05
                      6,                0.67377,                 3.7059,                0.99967,                0.02654,                0.57517,                0.11403,                0.10025,                0.55014,                 3.8255,                0.87155,             2.7847e-05,             2.7847e-05,             2.7847e-05
                      7,                0.67336,                 3.7944,                0.98092,                0.02714,                0.58735,                 0.1226,                0.10873,                 0.5478,                 3.8133,                0.86807,             3.2096e-05,             3.2096e-05,             3.2096e-05
                      8,                0.65028,                 3.8616,                0.97813,                0.02733,                0.60002,                0.12781,                0.11217,                0.54551,                 3.7978,                0.86544,             3.5905e-05,             3.5905e-05,             3.5905e-05
                      9,                0.71331,                 3.9238,                0.96676,                0.02802,                 0.6265,                0.14167,                0.12207,                0.54539,                 3.7848,                0.86215,             3.9273e-05,             3.9273e-05,             3.9273e-05
                     10,                0.71056,                  3.874,                0.96704,                0.02807,                0.63762,                0.14582,                0.12766,                0.54818,                 3.7717,                0.85896,             4.2201e-05,             4.2201e-05,             4.2201e-05
                     11,                0.71581,                 3.6823,                 0.9962,                0.02822,                0.64462,                0.15026,                0.13216,                0.55182,                 3.7616,                0.85594,             4.4689e-05,             4.4689e-05,             4.4689e-05
                     12,                0.70528,                 3.8217,                 1.0125,                0.02802,                0.64462,                0.15066,                0.13334,                0.55884,                 3.7511,                0.85433,             4.6737e-05,             4.6737e-05,             4.6737e-05
                     13,                0.68908,                 3.7424,                0.95086,                0.02819,                0.64589,                0.15643,                0.13913,                0.56764,                 3.7381,                0.85296,             4.8344e-05,             4.8344e-05,             4.8344e-05
                     14,                0.61404,                 3.6678,                0.93462,                0.02764,                0.64589,                0.15833,                0.14107,                0.57038,                  3.725,                0.85014,             4.9511e-05,             4.9511e-05,             4.9511e-05
                     15,                0.72931,                 3.6236,                0.98807,                0.02747,                0.64589,                0.15717,                0.14018,                0.57715,                 3.7082,                0.85027,             5.0238e-05,             5.0238e-05,             5.0238e-05
                     16,                0.65398,                 3.5797,                0.95297,                0.02829,                 0.6622,                 0.1614,                0.14429,                0.57599,                 3.6971,                0.84937,             5.0525e-05,             5.0525e-05,             5.0525e-05
                     17,                0.77994,                  3.706,                 1.0137,                0.02853,                0.67643,                0.16421,                0.14732,                0.57611,                 3.6842,                0.84827,             5.0372e-05,             5.0372e-05,             5.0372e-05
                     18,                0.71424,                 3.5017,                   1.01,                0.02853,                0.67643,                0.16421,                0.14732,                0.57611,                 3.6842,                0.84827,             4.9778e-05,             4.9778e-05,             4.9778e-05
