                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  4.071,                  4.949,                 3.3933,                 0.0002,                0.00909,                0.00014,                  3e-05,                 4.1838,                  5.035,                 3.9997,                      0,                      0,                      0
                      2,                 4.1274,                  4.928,                 3.3537,                0.00019,                0.00909,                0.00014,                  3e-05,                 4.1708,                 5.0305,                 3.9656,              6.604e-06,              6.604e-06,              6.604e-06
                      3,                  4.053,                 4.9526,                 3.5626,                0.00018,                0.00909,                0.00013,                  3e-05,                 4.1537,                 5.0258,                 3.9145,             1.3076e-05,             1.3076e-05,             1.3076e-05
                      4,                 4.4606,                 4.9419,                 3.4987,                0.00018,                0.00909,                0.00013,                  3e-05,                 4.1327,                 5.0196,                 3.8493,             1.9416e-05,             1.9416e-05,             1.9416e-05
                      5,                 4.0349,                 4.9018,                 3.2418,                0.00018,                0.00909,                0.00013,                  3e-05,                 4.0918,                 5.0122,                 3.7518,             2.5623e-05,             2.5623e-05,             2.5623e-05
                      6,                 3.6269,                 4.8915,                 3.1033,                0.00017,                0.00909,                0.00013,                  4e-05,                 4.0441,                 5.0034,                 3.6421,             3.1699e-05,             3.1699e-05,             3.1699e-05
                      7,                 3.7652,                 4.8924,                 3.0543,                0.00017,                0.00909,                0.00014,                  4e-05,                 3.9843,                  4.999,                 3.5175,             3.7643e-05,             3.7643e-05,             3.7643e-05
                      8,                 3.9826,                 4.9784,                 3.1352,                0.00017,                0.00909,                0.00014,                  4e-05,                  3.886,                 4.9903,                 3.3574,             4.3454e-05,             4.3454e-05,             4.3454e-05
                      9,                 4.2231,                 4.9319,                 3.1211,                0.00017,                0.00909,                0.00014,                  4e-05,                 3.7844,                  4.983,                 3.1693,             4.9134e-05,             4.9134e-05,             4.9134e-05
                     10,                 3.6981,                 4.8738,                 2.7721,                 0.0003,                0.01515,                0.00025,                  7e-05,                 3.6334,                   4.97,                 2.9658,             5.4681e-05,             5.4681e-05,             5.4681e-05
                     11,                 3.3451,                 4.8259,                 2.6319,                0.00029,                0.01515,                0.00028,                  8e-05,                   3.49,                 4.9472,                 2.7888,             6.0097e-05,             6.0097e-05,             6.0097e-05
                     12,                 3.5841,                 4.8138,                  2.572,                0.00029,                0.01515,                0.00031,                0.00011,                 3.3856,                 4.9294,                 2.6384,              6.538e-05,              6.538e-05,              6.538e-05
                     13,                 3.7433,                  4.836,                 2.5445,                0.00028,                0.01515,                0.00034,                0.00014,                 3.2734,                 4.9115,                 2.4835,             7.0531e-05,             7.0531e-05,             7.0531e-05
                     14,                 3.5186,                 4.7654,                 2.4349,                0.00028,                0.01515,                0.00043,                0.00021,                 3.2218,                 4.8829,                 2.3518,              7.555e-05,              7.555e-05,              7.555e-05
                     15,                 3.2302,                 4.7182,                 2.2069,                0.00028,                0.01515,                0.00057,                 0.0003,                  3.193,                  4.845,                 2.2358,             8.0438e-05,             8.0438e-05,             8.0438e-05
                     16,                 3.1881,                 4.7131,                 2.1991,                0.00027,                0.01515,                 0.0006,                0.00036,                 3.1289,                 4.8168,                 2.1429,             8.5193e-05,             8.5193e-05,             8.5193e-05
                     17,                  3.304,                 4.7435,                 2.1514,                0.00041,                0.02214,                0.00146,                0.00065,                 3.0745,                 4.7908,                 2.0683,             8.9816e-05,             8.9816e-05,             8.9816e-05
